Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,incr2015,incr2014,incr2013,incr3year,incr6year
EGT,Entertainment Gaming Asia Incorporated,2.09,30230219.8,n/a,n/a,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/egt,-6.37,-61.67,-37.11,-75.39,-75.39
ENZN,"Enzon Pharmaceuticals, Inc.",0.68,30044036.76,n/a,1984,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/enzn,44.83,-4.39,-34.59,-6.58,-6.58
EPIQ,"EPIQ Systems, Inc.",11.6,435150904.4,n/a,1997,Technology,EDP Services,http://www.nasdaq.com/symbol/epiq,-16.85,9.99,24.65,8.51,8.51
EPRS,"EPIRUS Biopharmaceuticals, Inc.",2.72,66306998.56,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/eprs,-61.99,-65.67,-73.94,-93.4,-93.4
EPZM,"Epizyme, Inc.",10.71,446642824.95,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/epzm,-8.35,-50.95,-10.53,-30.32,-30.32
PLUS,ePlus inc.,92.45,691711639.6,n/a,1996,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/plus,39.26,20.44,28.0,111.28,111.28
EQIX,"Equinix, Inc.",309.79,17746526470.1,n/a,2000,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/eqix,48.76,31.58,-20.35,54.01,54.01
EQFN,Equitable Financial Corp.,8.9683,31185720.7024,n/a,2015,Finance,Savings Institutions,http://www.nasdaq.com/symbol/eqfn,67.18,33.81,64.0,284.5,284.5
EQBK,"Equity Bancshares, Inc.",23.84,195767571.68,n/a,2015,Finance,Major Banks,http://www.nasdaq.com/symbol/eqbk,-2.5,,,-2.5,-2.5
ERIC,Ericsson,9.1,2490968771.2,273732832,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/eric,-18.41,2.88,19.3,3.35,3.35
ERIE,Erie Indemnity Company,91.94,4246856623.4,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/erie,13.31,29.37,6.28,50.56,50.56
ESCA,"Escalade, Incorporated",11.51,162636138.86,n/a,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/esca,-14.83,42.93,129.94,173.87,173.87
ESMC,Escalon Medical Corp.,1.06,7978015.8,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/esmc,-25.87,-21.89,95.05,4.95,4.95
ESPR,"Esperion Therapeutics, Inc.",18.04,406241082.28,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/espr,-50.47,166.69,0.28,57.87,57.87
ESSA,"ESSA Bancorp, Inc.",13.44,152298639.36,n/a,n/a,Finance,Banks,http://www.nasdaq.com/symbol/essa,17.62,8.01,6.42,33.81,33.81
EPIX,ESSA Pharma Inc.,4.0001,90467809.6387,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/epix,-3.85,,,-3.85,-3.85
ESND,Essendant Inc.,29.53,1104164291.69,n/a,n/a,Consumer Services,Paper,http://www.nasdaq.com/symbol/esnd,-18.85,-7.23,44.26,5.25,5.25
ETSY,"Etsy, Inc.",8.38,939413335.4,n/a,2015,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/etsy,-70.05,,,-70.05,-70.05
CLWT,Euro Tech Holdings Company Limited,2.7805,5734528.2245,n/a,1997,Consumer Durables,Diversified Electronic Products,http://www.nasdaq.com/symbol/clwt,21.43,-46.11,44.23,-18.59,-18.59
EEFT,"Euronet Worldwide, Inc.",73.09,3860024402.24,n/a,1997,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/eeft,35.16,16.14,93.7,192.53,192.53
ESEA,Euroseas Ltd.,2.45,19912032.0,n/a,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/esea,-65.54,-43.18,37.94,-74.7,-74.7
EVEP,"EV Energy Partners, L.P.",2.65,129509207.35,n/a,2006,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/evep,-81.48,-31.7,-38.03,-93.37,-93.37
EVK,"Ever-Glory International Group, Inc.",2.2945,33926174.126,n/a,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/evk,-62.03,11.13,201.67,33.33,33.33
EVLV,EVINE Live Inc.,1.43,81689372.05,n/a,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/evlv,-74.2,-3.63,199.56,-21.59,-21.59
EVOK,"Evoke Pharma, Inc.",2.96,21157641.92,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/evok,-50.75,-39.78,-34.5,-72.57,-72.57
EVOL,"Evolving Systems, Inc.",5.42,63429002.56,n/a,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/evol,-37.59,-7.77,63.93,1.72,1.72
EXA,Exa Corporation,11.46,167613673.5,n/a,2012,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/exa,1.04,-14.01,35.78,20.06,20.06
EXAS,EXACT Sciences Corporation,7.98,768777240.0,n/a,2001,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/exas,-68.35,91.91,4.23,-20.36,-20.36
EXAC,"Exactech, Inc.",18.33,258052361.19,n/a,1996,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/exac,-20.25,-5.03,45.13,7.78,7.78
EXEL,"Exelixis, Inc.",4.895,1112225017.14,n/a,2000,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/exel,220.45,-77.82,27.18,17.01,17.01
EXFO,EXFO Inc,3.14,69859570.94,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/exfo,-22.38,-15.01,-8.87,-48.3,-48.3
EXLS,"ExlService Holdings, Inc.",42.18,1389998834.22,n/a,2006,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/exls,51.89,4.78,-6.82,55.57,55.57
EXPE,"Expedia, Inc.",111.41,15250260589.1,n/a,n/a,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/expe,43.08,24.23,11.61,103.69,103.69
EXPD,"Expeditors International of Washington, Inc.",42.78,7974763113.0,n/a,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/expd,5.35,3.3,2.78,10.34,10.34
EXPO,"Exponent, Inc.",47.4,1220404387.2,n/a,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/expo,25.17,8.57,41.87,88.15,88.15
ESRX,Express Scripts Holding Company,85.74,57983904240.0,n/a,1992,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/esrx,2.96,16.18,25.9,57.21,57.21
EXTR,"Extreme Networks, Inc.",3.46,350726110.88,n/a,1999,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/extr,16.57,-52.02,87.47,8.8,8.8
EYEG,"Eyegate Pharmaceuticals, Inc.",2.37,18141506.28,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/eyeg,-54.33,,,-54.33,-54.33
EZCH,EZchip Semiconductor Limited,25.18,754379882.66,n/a,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/ezch,27.82,-24.13,-30.78,-29.21,-29.21
EZPW,"EZCORP, Inc.",4.04,221548663.12,n/a,1991,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/ezpw,-56.65,5.05,-42.71,-75.67,-75.67
FFIV,"F5 Networks, Inc.",92.13,6483965308.68,n/a,1999,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/ffiv,-25.35,47.23,-10.07,-0.95,-0.95
FB,"Facebook, Inc.",97.33,2.75248661178e+11,n/a,2012,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/fb,34.63,35.4,72.01,229.95,229.95
FCS,"Fairchild Semiconductor International, Inc.",21.05,2386954919.65,n/a,1999,Technology,Semiconductors,http://www.nasdaq.com/symbol/fcs,23.86,25.58,-9.63,39.46,39.46
FRP,"FairPoint Communications, Inc.",15.84,426181504.32,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/frp,12.46,12.35,34.56,79.75,79.75
FWM,Fairway Group Holdings Corp.,0.6051,26684185.0902,n/a,2013,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/fwm,-80.98,-78.47,-1.98,-96.47,-96.47
FALC,"FalconStor Software, Inc.",1.84,75775923.28,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/falc,39.26,0.0,-45.88,-26.27,-26.27
DAVE,"Famous Dave&#39;s of America, Inc.",6.37,44320090.36,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/dave,-74.24,26.45,98.63,-26.95,-26.95
FARM,Farmer Brothers Company,28.84,480941579.16,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/farm,5.63,24.42,62.19,130.66,130.66
FFKT,Farmers Capital Bank Corporation,26.78,200786129.7,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffkt,17.82,7.91,65.97,103.22,103.22
FMNB,Farmers National Banc Corp.,8.55,230602768.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fmnb,9.51,26.5,2.54,37.3,37.3
FARO,"FARO Technologies, Inc.",24.53,426757216.27,n/a,1997,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/faro,-45.24,10.15,77.59,-7.08,-7.08
FAST,Fastenal Company,38.8,11240172751.2,n/a,1987,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/fast,-8.8,1.59,1.64,-6.26,-6.26
FATE,"Fate Therapeutics, Inc.",2.9,83278053.0,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/fate,-32.46,-22.24,-4.62,-52.87,-52.87
FBSS,"Fauquier Bankshares, Inc.",15.5001,58041085.4562,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fbss,-21.01,49.83,20.15,37.67,37.67
FBRC,FBR & Co,18.46,130181489.1,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/fbrc,-11.86,-8.1,66.33,29.28,29.28
FDML,Federal-Mogul Holdings Corporation,5.43,917890734.93,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/fdml,-52.0,-25.67,137.24,-17.17,-17.17
